id_product,name_product,description
ipad-11-wifi-128gb,iPad A16 WiFi 128GB,Xem thêm
ipad-air-m3-11-inch-wifi-128gb,iPad Air M3 11 inch WiFi 128GB,Xem thêm
xiaomi-pad-7-8gb-256gb,Xiaomi Pad 7 WiFi 8GB/256GB,"Ra mắt vào tháng 3/2025, Xiaomi Pad 7 256GB nhanh chóng trở thành một trong những thiết bị đáng chú ý trên thị trường máy tính bảng. Với thiết kế tối giản, hiệu năng mạnh mẽ nhờ vi xử lý Snapdragon 7+ Gen 3, cùng hàng loạt công nghệ hỗ trợ làm việc và giải trí, sản phẩm này là lựa chọn phù hợp cho nhiều đối tượng. Thiết kế thanh lịch, thao tác thuận tiện Xiaomi Pad 7 256GB có độ mỏng chỉ 6.18 mm, mang đến cảm giác cầm nắm nhẹ nhàng, dễ chịu ngay cả khi sử dụng trong thời gian dài. Lớp vỏ hợp kim nhôm nguyên khối giúp thiết bị không chỉ cứng cáp mà còn có vẻ ngoài sang trọng. Máy được ra mắt với ba màu sắc tinh tế: xám, xanh dương và xanh lá, phù hợp với nhiều phong cách người dùng. Xem thêm"
oppo-pad-3,OPPO Pad 3 8GB/256GB,"OPPO Pad 3 sở hữu thiết kế mỏng nhẹ, màn hình 2.8K sắc nét, chip Dimensity 8350 mạnh mẽ và pin 9520 mAh bền bỉ. Hỗ trợ WiFi 6, âm thanh Holo Audio 2.0 và sạc nhanh 67W, OPPO Pad 3 là lựa chọn lý tưởng cho người dùng tìm kiếm hiệu suất và sự tiện lợi. Thiết kế thanh lịch, gọn nhẹ OPPO Pad 3 gây ấn tượng với thiết kế siêu mỏng và nhẹ, giúp người dùng dễ dàng mang theo mọi lúc mọi nơi. Với lớp vỏ kim loại cao cấp, máy không chỉ đẹp mắt mà còn bền bỉ, chống bám vân tay hiệu quả. Độ mỏng chỉ 6.29 mm và khối lượng 536g, khiến việc cầm nắm thoải mái dù sử dụng trong thời gian dài. Xem thêm"
samsung-galaxy-tab-s10-fe,Samsung Galaxy Tab S10 FE WiFi 8GB/128GB,"Samsung Galaxy Tab S10 FE là máy tính bảng cao cấp nhưng vẫn dễ tiếp cận, hướng đến việc nâng cao hiệu suất, sáng tạo và giải trí cho người dùng. Với danh tiếng đổi mới không ngừng, Samsung tiếp tục mang đến một sản phẩm linh hoạt, phù hợp với nhu cầu hiện đại từ học tập, làm việc đến thư giãn, giải trí. Hình ảnh sống động và mượt mà Samsung Galaxy Tab S10 FE sở hữu màn hình 10.9 inch, vừa đủ rộng để bạn thoải mái làm việc, giải trí, lại đủ gọn để mang theo bên mình. Độ phân giải cao 1440 x 2304 pixels (WUXGA+) giúp hình ảnh hiển thị sắc nét, chi tiết, cho bạn trải nghiệm xem phim, đọc tin hay xử lý tài liệu trở nên dễ chịu và trọn vẹn hơn. Xem thêm"
samsung-galaxy-tab-s10-plus,Samsung Galaxy Tab S10+ WiFi 12GB/256GB,"Samsung tiếp tục khẳng định vị thế của mình trong thị trường máy tính bảng với dòng sản phẩm Samsung Galaxy Tab S10 Plus. Đây là thiết bị hướng tới người dùng tìm kiếm một trải nghiệm toàn diện, từ hiệu năng mạnh mẽ đến khả năng sáng tạo hiệu quả, cùng hàng loạt các tính năng tiện lợi khác, hỗ trợ cho cả công việc, giải trí và các tác vụ thường ngày của bạn. Thiết kế mỏng nhẹ, S Pen luôn bên cạnh Samsung Galaxy Tab S10+ gây ấn tượng với thiết kế tinh tế, hướng đến sự bền bỉ. Khung nhôm nguyên khối không chỉ mang đến vẻ ngoài sang trọng mà còn tăng cường độ cứng cáp cho thiết bị. Tiêu chuẩn kháng nước và bụi IP68 là một điểm cộng, cho phép người dùng yên tâm sử dụng máy trong nhiều điều kiện môi trường khác nhau. Xem thêm"
xiaomi-redmi-pad-se-4gb,Xiaomi Redmi Pad SE WiFi 4GB/128GB,"Xiaomi Redmi Pad SE 4GB mẫu máy tính bảng tầm trung được Xiaomi ra mắt tại thị trường Việt Nam vào tháng 09/2023. Máy ấn tượng với màn hình lớn, cấu hình khủng cùng viên pin có dung lượng 8000 mAh giúp đảm bảo mọi trải nghiệm được liền mạch và ổn định. Thiết kế vuông vắn thanh lịch Máy tính bảng Xiaomi Redmi Pad SE được thiết kế với sự hiện đại và tinh tế theo kiểu vuông vắn bắt trend. Sự kết hợp hoàn hảo giữa mặt lưng và bộ khung làm phẳng không chỉ tạo nên một cái nhìn hiện đại mà còn mang lại cảm giác sang trọng, đầy vẻ thanh lịch. Với việc sử dụng chất liệu kim loại chất lượng cao và thiết kế nguyên khối, máy tính bảng này không chỉ đẹp mắt mà còn đảm bảo độ bền và độ chắc chắn đáng tin cậy. Xem thêm"
xiaomi-redmi-pad-pro-6gb-128gb,Xiaomi Redmi Pad Pro WiFi 6GB/128GB,"Sau thành công của thế hệ Redmi Pad năm 2022, nhà Xiaomi đã cho ra mắt phiên bản nâng cấp với nhiều cải tiến về thiết kế lẫn hiệu năng mang tên Xiaomi Redmi Pad Pro, hứa hẹn mang đến cho người dùng trải nghiệm tối ưu từ phần cứng đến phần mềm bên trong. Thiết kế sang trọng, bền bỉ Redmi Pad Pro ghi điểm nhờ ngôn ngữ thiết kế mặt lưng phẳng với bốn góc bo cong mềm mại mang đến vẻ đẹp hiện đại và sang trọng. Được chế tác từ kim loại và trải qua quá trình gia công tỉ mỉ, tạo nên sự đồng nhất về mặt thẩm mỹ và độ hoàn thiện cao. Mặt trước của máy được bảo vệ bởi lớp kính cường lực Corning Gorilla 3. Sản phẩm trải qua hơn 30 bài thử nghiệm chất lượng khắt khe để mang đến sự an tâm cho người dùng trong nhiều tình huống sử dụng thường ngày, biến Redmi Pad Pro trở thành một sản phẩm không chỉ đẹp mắt mà còn bền bỉ theo thời gian. Xem thêm"
oppo-pad-neo-6gb,OPPO Pad Neo WiFi 6GB/128GB,"OPPO Pad Neo WiFi, một phiên bản mới từ OPPO mang đến sự khác biệt trong thị trường máy tính bảng. Với màn hình rộng 11.4 inch, con chip ổn định và RAM lớn giúp nó thu hút sự chú ý, mang đến cho người dùng trải nghiệm mượt mà và bền bỉ. Tạo hình phẳng kết hợp cùng chất liệu cao cấp OPPO Pad Neo WiFi có thiết kế mặt lưng được tạo từ chất liệu kính và nhôm cao cấp, mang lại độ bền cao cũng như sự tinh tế và sang trọng. Khi ánh sáng chiếu vào, mặt lưng này phản chiếu lại, tạo nên các hiệu ứng ánh sáng lạ mắt giúp mang đến cái nhìn thú vị hơn cho sản phẩm. Đó chỉ là phần mặt sau, OPPO Pad Neo WiFi còn tiếp tục thu hút với khung viền bo cong được tạo từ kim loại, mang đến tổng thể hài hoà giữa sự mềm mại và cứng cáp. Cùng với độ mỏng ấn tượng chỉ 6.89 mm, chiếc máy tính bảng này không chỉ đóng vai trò như một công cụ hữu dụng mà còn là biểu tượng cho sự tinh tế. Xem thêm"
tcl-tab-10l-gen-3,TCL Tab 10L Gen 3 WiFi 4GB/64GB,"TCL Tab 10L Gen 3 là chiếc máy tính bảng hoàn hảo cho những ai tìm kiếm sự kết hợp giữa hiệu suất mạnh mẽ, thiết kế tinh tế và tính năng giải trí vượt trội. Với màn hình lớn 10.1 inch sắc nét, hiệu năng mạnh mẽ, camera chất lượng và thời gian sử dụng pin dài, máy đáp ứng nhu cầu học tập, làm việc và giải trí cho cả gia đình. Màn hình 10.1 inch, trải nghiệm hình ảnh xuất sắc TCL Tab 10L Gen 3 sở hữu màn hình IPS LCD 10.1 inch, một trong những yếu tố nổi bật giúp máy thu hút người dùng. Màn hình này không chỉ rộng rãi mà còn đảm bảo hình ảnh sắc nét, với màu sắc cân bằng và độ tương phản tinh tế, mang lại chất lượng hình ảnh sống động, thích hợp cho cả học tập và giải trí. Xem thêm"
